year,sub_event_type,events
2026,Excessive force against protesters,204
2026,Government regains territory,56
2026,Grenade,65
2026,Headquarters or base established,34
2026,Looting/property destruction,1762
2026,Mob violence,2860
2026,Non-violent transfer of territory,115
2026,Other,1243
2026,Peaceful protest,10817
2026,Protest with intervention,300
2026,Remote explosive/landmine/IED,535
2026,Shelling/artillery/missile attack,4354
2026,Suicide bomb,2
2026,Violent demonstration,569
