cell_id,cell_lat,cell_lon,detections,dark,expected,solas,solas_dark,mean_length_m,fishing_share,cell_area_km2,scenes,corridor,dark_rate,expected_rate,sdr,excess_dark,density_per_1k_km2,solas_dark_rate,dark_rate_lo,dark_rate_hi,p_value,q_value,is_dark_spot,matched,matched_share,area_type,days_observed,days_dark_majority,persistence
20.0_86.5,20.0,86.5,52,52,18.14306605159913,25,25,118.0248914576923,0.36538461538461536,2900.021339887193,2,Bay of Bengal,1.0,0.34890511637690635,2.8661087300300445,33.856933948400865,17.930902536745723,1.0,0.9312054095871178,1.0,1.662576270037303e-24,7.503278992603132e-23,True,0,0.0,AIS dead zone (reception / feed gap),2,2,1.0
20.5_87.0,20.5,87.0,25,25,8.759996345129569,15,15,121.071059492,0.24,2890.5746194115304,2,Bay of Bengal,1.0,0.35039985380518274,2.853882469243225,16.24000365487043,8.648799388230136,1.0,0.8668035060468213,1.0,4.11242421255059e-12,7.62267202254913e-11,True,0,0.0,AIS dead zone (reception / feed gap),2,2,1.0
46.5_38.0,46.5,38.0,81,46,16.225248005438623,58,34,114.57807807530864,0.0,2117.9531483526007,5,Black Sea,0.5679012345679012,0.2003117037708472,2.83508763530647,29.774751994561377,38.24447205690264,0.5862068965517241,0.4593724052942849,0.6702809722940679,3.7819183880813724e-13,7.85126257365693e-12,True,35,0.43209876543209874,Behavioural dark spot (selective switch-off),5,2,0.4
29.0_50.0,29.0,50.0,27,20,7.069801252050536,17,17,183.41442030740743,0.07407407407407407,2696.9520422927276,3,Persian Gulf,0.7407407407407407,0.26184449081668654,2.8289338394341947,12.930198747949465,10.011301490198843,1.0,0.553210695973843,0.8682979157713322,2.7519948404439327e-07,2.746702542673848e-06,True,7,0.25925925925925924,Behavioural dark spot (selective switch-off),2,2,1.0
-33.0_-72.0,-33.0,-72.0,26,19,6.833097277051321,18,12,152.92156487307693,0.3076923076923077,2599.7160620505924,4,Open ocean / other,0.7307692307692307,0.2628114337327431,2.7805838596518635,12.166902722948679,10.001092188310686,0.6666666666666666,0.5391659658023868,0.8629572447493261,8.332004871926059e-07,7.329339878863771e-06,True,7,0.2692307692307692,Behavioural dark spot (selective switch-off),3,2,0.6666666666666666
25.5_53.0,25.5,53.0,45,27,9.870248808720694,35,20,189.02091606444446,0.06666666666666667,2784.1273041239665,4,Persian Gulf,0.6,0.2193388624160154,2.7354933521173854,17.129751191279304,16.163054014571856,0.5714285714285714,0.4545159420914473,0.7297532055204246,3.923702398441199e-08,4.791533046567017e-07,True,18,0.4,Behavioural dark spot (selective switch-off),3,1,0.3333333333333333
24.5_56.5,24.5,56.5,193,105,39.318286772504905,127,69,138.89942833626944,0.07253886010362694,2807.140167390364,3,Gulf of Oman,0.5440414507772021,0.20372169312178706,2.670513102657006,65.6817132274951,68.75324653966993,0.5433070866141733,0.4735979211654248,0.6127659368808418,2.394262922340758e-25,1.1296567788135031e-23,True,88,0.45595854922279794,Behavioural dark spot (selective switch-off),2,1,0.5
22.0_91.0,22.0,91.0,71,71,26.727388832368813,1,1,53.41825866197183,0.19718309859154928,2860.9166486724735,2,Bay of Bengal,1.0,0.37644209623054664,2.6564510452294474,44.27261116763118,24.81722074389882,1.0,0.9486702582520953,1.0000000000000002,7.491538273548042e-31,4.092745646285719e-29,True,0,0.0,AIS dead zone (reception / feed gap),2,2,1.0
6.0_95.5,6.0,95.5,32,17,6.673492336186359,28,13,184.926887284375,0.125,3072.7043445357876,3,Open ocean / other,0.53125,0.20854663550582372,2.547391851762407,10.32650766381364,10.414278893088373,0.4642857142857143,0.3644923793257382,0.6913087009831766,5.747885318017967e-05,0.00034890672281302044,True,15,0.46875,Behavioural dark spot (selective switch-off),3,1,0.3333333333333333
-6.0_109.5,-6.0,109.5,32,23,9.030096155508012,10,6,91.0248823125,0.09375,3075.5239629307252,4,Open ocean / other,0.71875,0.2821905048596254,2.547038215752651,13.969903844491988,10.404731156608056,0.6,0.546251630618882,0.8443559315435214,3.8190740479167e-07,3.6368796896674626e-06,True,9,0.28125,Behavioural dark spot (selective switch-off),4,4,1.0
11.5_-70.5,11.5,-70.5,42,17,6.743683472344347,36,17,174.90974685,0.0,3026.3046078266293,1,Open ocean / other,0.40476190476190477,0.16056389219867492,2.52087751000125,10.256316527655652,13.87831214722391,0.4722222222222222,0.27042647671209086,0.5550595447182258,0.00013526024021182136,0.0007843582644685507,True,25,0.5952380952380952,Behavioural dark spot (selective switch-off),1,0,0.0
25.5_51.5,25.5,51.5,255,151,61.228198643991824,116,73,114.65230759294117,0.07058823529411765,2784.1273041239665,8,Persian Gulf,0.592156862745098,0.240110582917615,2.46618393720811,89.77180135600818,91.5906394159072,0.6293103448275862,0.5309042197441817,0.6506740118847373,5.271163871396059e-33,3.0397044991717273e-31,True,104,0.40784313725490196,Behavioural dark spot (selective switch-off),4,2,0.5
24.5_54.5,24.5,54.5,37,35,14.261388338727462,9,8,75.50023611891892,0.4864864864864865,2807.140167390364,2,Persian Gulf,0.9459459459459459,0.3854429280737152,2.4541790160047654,20.738611661272536,13.18067420708698,0.8888888888888888,0.822950349364601,0.9850493372294601,8.400867504072518e-13,1.6769423979283217e-11,True,2,0.05405405405405406,Behavioural dark spot (selective switch-off),2,2,1.0
38.5_125.0,38.5,125.0,38,38,15.505933574418634,6,6,57.36973645526316,0.5789473684210527,2410.682722189525,2,Open ocean / other,1.0,0.4080508835373325,2.4506747573517025,22.494066425581366,15.763169350417938,1.0,0.90818706741616,0.9999999999999999,1.6111807228423622e-15,4.18101397577593e-14,True,0,0.0,AIS dead zone (reception / feed gap),2,2,1.0
25.5_53.5,25.5,53.5,61,36,14.698225528346558,50,26,200.66123023114756,0.14754098360655737,2784.1273041239665,5,Persian Gulf,0.5901639344262295,0.2409545168581403,2.449275249625982,21.30177447165344,21.909917664197405,0.52,0.46499566253828867,0.7046485165072622,6.361104829920491e-09,9.044968237612972e-08,True,25,0.4098360655737705,Behavioural dark spot (selective switch-off),4,2,0.5
36.0_23.0,36.0,23.0,32,15,6.134651556923883,23,13,134.90180885,0.0625,2492.782092805216,5,Open ocean / other,0.46875,0.19170786115387134,2.445126648321245,8.865348443076117,12.837062690862508,0.5652173913043478,0.30869129901682335,0.6355076206742619,0.00034832449707727686,0.0017723569998343792,True,17,0.53125,Behavioural dark spot (selective switch-off),5,2,0.4
36.0_15.0,36.0,15.0,33,19,7.820435253317897,24,14,157.07706603333332,0.15151515151515152,2492.782092805216,5,Open ocean / other,0.5757575757575758,0.2369828864641787,2.429532293862936,11.179564746682104,13.23822089995196,0.5833333333333334,0.4080697369146003,0.7276464100497011,3.099078962990417e-05,0.00020105274772400328,True,14,0.42424242424242425,Behavioural dark spot (selective switch-off),4,2,0.5
54.0_18.5,54.0,18.5,48,27,11.13451266604926,32,17,129.96640233125,0.10416666666666667,1805.9605043192446,5,Open ocean / other,0.5625,0.23196901387602623,2.4248928363364217,15.86548733395074,26.57865434221861,0.53125,0.4227477150100165,0.6929894535958907,8.258804336448895e-07,7.327041795926455e-06,True,21,0.4375,Behavioural dark spot (selective switch-off),5,3,0.6
24.5_54.0,24.5,54.0,197,165,68.59504527308248,51,41,80.48042197715736,0.30456852791878175,2807.140167390364,7,Persian Gulf,0.8375634517766497,0.34819819935574864,2.4054215482054357,96.40495472691752,70.17818429178745,0.803921568627451,0.7796868132970542,0.8825265926905499,2.2177773238109883e-45,1.7708098939352352e-43,True,32,0.16243654822335024,Behavioural dark spot (selective switch-off),5,4,0.8
5.5_97.0,5.5,97.0,35,19,7.986752253673996,28,13,197.56330683428573,0.17142857142857143,3075.5239629307252,3,Open ocean / other,0.5428571428571428,0.22819292153354273,2.378939448291987,11.013247746326005,11.380174702540062,0.4642857142857143,0.38189451340137515,0.6953422636623914,5.365115526873628e-05,0.00033347245011346264,True,16,0.45714285714285713,Behavioural dark spot (selective switch-off),3,1,0.3333333333333333
-4.0_106.0,-4.0,106.0,38,33,13.91338814080745,9,5,66.68966997894736,0.23684210526315788,3084.458426322437,2,Open ocean / other,0.868421052631579,0.3661417931791434,2.37181624389621,19.08661185919255,12.319828880075697,0.5555555555555556,0.7267282994850112,0.9424621712426856,2.2325417695274442e-10,3.6209036824523234e-09,True,5,0.13157894736842105,Behavioural dark spot (selective switch-off),2,2,1.0
-1.5_104.5,-1.5,104.5,26,23,10.087559420020906,3,2,59.85351678461538,0.07692307692307693,3090.341066185425,2,Open ocean / other,0.8846153846153846,0.3879830546161887,2.2800361358319843,12.912440579979094,8.41331084277154,0.6666666666666666,0.7102370691310166,0.959968281788505,2.2528367682013503e-07,2.2925927111696092e-06,True,3,0.11538461538461539,Behavioural dark spot (selective switch-off),2,2,1.0
-3.5_106.0,-3.5,106.0,37,29,12.83778407636892,6,5,70.87230117567567,0.16216216216216217,3086.105189124408,2,Open ocean / other,0.7837837837837838,0.34696713719916,2.258956828334696,16.16221592363108,11.989221926196777,0.8333333333333334,0.628045387261231,0.8861362314804442,6.905148135834717e-08,8.053419960670154e-07,True,8,0.21621621621621623,Behavioural dark spot (selective switch-off),2,2,1.0
24.5_57.0,24.5,57.0,45,32,14.203782744504382,22,12,106.92634241777778,0.3333333333333333,2807.140167390364,3,Gulf of Oman,0.7111111111111111,0.3156396165445418,2.2529209701113735,17.79621725549562,16.030549711322006,0.5454545454545454,0.5663118252773978,0.8227008196809984,6.042081999779057e-08,7.126910358830297e-07,True,13,0.28888888888888886,Behavioural dark spot (selective switch-off),2,1,0.5
-6.0_119.5,-6.0,119.5,53,36,16.018869876925585,13,3,79.25776695849056,0.03773584905660377,3075.5239629307252,5,Open ocean / other,0.6792452830188679,0.30224282786652046,2.247349549412114,19.981130123074415,17.232835978132094,0.23076923076923078,0.5451826763724886,0.7890795541065968,1.735325140813325e-08,2.2237870323015205e-07,True,17,0.32075471698113206,"Elevated dark, unclassified",5,4,0.8
-2.5_116.5,-2.5,116.5,33,27,12.132459593951413,8,6,75.14173958787879,0.2727272727272727,3088.693550643103,3,Open ocean / other,0.8181818181818182,0.3676502907258004,2.2254349821581716,14.867540406048587,10.68412889104165,0.75,0.656114329507048,0.9138934877430174,1.4894892774260426e-07,1.5939070824414765e-06,True,6,0.18181818181818182,Behavioural dark spot (selective switch-off),3,3,1.0
25.0_121.0,25.0,121.0,30,22,10.246728176962161,14,9,108.58044605666667,0.36666666666666664,2795.740188976926,2,Taiwan Strait,0.7333333333333333,0.34155760589873874,2.1470267991945815,11.753271823037839,10.730610847990924,0.6428571428571429,0.5555169795568831,0.8581750444608938,1.3647199002803504e-05,9.702597647198656e-05,True,8,0.26666666666666666,Behavioural dark spot (selective switch-off),2,2,1.0
24.0_120.0,24.0,120.0,50,30,14.007121856873228,27,13,118.26580502200001,0.32,2818.326371211741,4,Taiwan Strait,0.6,0.28014243713746456,2.1417676169697306,15.992878143126772,17.741025493261972,0.48148148148148145,0.4618118910275937,0.7239181021375425,2.299201595566046e-06,1.8645087939043405e-05,True,20,0.4,Behavioural dark spot (selective switch-off),3,2,0.6666666666666666
24.0_58.0,24.0,58.0,25,13,6.13419459698195,19,8,181.47904390399998,0.16,2818.326371211741,7,Gulf of Oman,0.52,0.245367783879278,2.1192676225817904,6.86580540301805,8.870512746630986,0.42105263157894735,0.334982179531473,0.6996899607103998,0.0028213324070336864,0.01215163086514924,True,12,0.48,Behavioural dark spot (selective switch-off),5,3,0.6
26.5_53.0,26.5,53.0,32,24,11.463970117200017,3,2,57.693773321875,0.53125,2760.2663687102918,3,Persian Gulf,0.75,0.3582490661625005,2.0935155757246346,12.536029882799983,11.593084045345847,0.6666666666666666,0.5789310822975338,0.8674775601737845,7.308156324264319e-06,5.4574577443067364e-05,True,8,0.25,Behavioural dark spot (selective switch-off),3,2,0.6666666666666666
17.0_107.5,17.0,107.5,55,55,26.379452046759653,1,1,42.496568839999995,0.6727272727272727,2952.039858927605,3,South China Sea,1.0,0.4796264008501755,2.084956120487574,28.620547953240347,18.631184749646295,1.0,0.9347128562105721,0.9999999999999999,2.8162385312678434e-18,9.135173735800066e-17,True,0,0.0,AIS dead zone (reception / feed gap),3,3,1.0
16.0_96.0,16.0,96.0,36,29,14.1489730886778,12,9,77.186283625,0.25,2967.587696103858,3,Open ocean / other,0.8055555555555556,0.39302703024104996,2.0496187121315677,14.8510269113222,12.131065257907746,0.75,0.6497163793648479,0.9024702798054665,5.140027842745169e-07,4.721547699796005e-06,True,7,0.19444444444444445,Behavioural dark spot (selective switch-off),3,3,1.0
