country,admin1,events,fatalities,population_exposure,lat,lon
Turkey,Kirklareli,175,0,66592,41.6597,27.5054
Turkey,Kars,170,76,103969,40.5157,43.0403
Saudi Arabia,Eastern,163,130,392328,23.1567,50.3153
Turkey,Sivas,156,0,100512,39.5473,37.2125
Turkey,Rize,155,0,57626,40.9104,40.817
Turkey,Igdir,151,16,107457,39.8813,43.9762
Jordan,Al Aqabah,147,2,104869,29.9747,35.2057
Turkey,Zonguldak,142,0,38918,41.2978,31.8293
Turkey,Kutahya,139,0,82697,39.3321,29.606
Turkey,Kahramanmaras,135,5,374419,37.8852,36.8854
Turkey,Bolu,130,2,147622,40.5731,31.59
Turkey,Osmaniye,127,34,249244,37.3416,36.2986
Turkey,Corum,125,0,79000,40.646,34.7294
Jordan,At Tafilah,115,0,28194,30.8097,35.6612
Turkey,Giresun,114,7,61842,40.5664,38.4409
Turkey,Erzincan,110,46,121000,39.5452,39.043
Mediterranean Sea,Eastern Mediterranean Sea,107,179,0,34.924,28.7224
Qatar,Ad Dawnah,106,7,951491,25.2934,51.5014
Turkey,Amasya,105,0,36015,40.6554,35.8544
Turkey,Kilis,97,14,107017,36.8316,37.0107
Turkey,Duzce,96,0,64741,40.8687,31.2116
Turkey,Bilecik,93,0,29979,40.1112,30.1285
Turkey,Afyonkarahisar,89,0,52822,38.5248,30.6111
Turkey,Tokat,74,0,142750,40.4006,36.6865
Turkey,Sinop,73,2,27431,41.6486,34.992
Jordan,Jerash,73,3,116199,32.2431,35.9005
Kuwait,Al Jahra,69,3,133899,29.4988,47.3671
Turkey,Karabuk,69,1,36703,41.2036,32.5224
Turkey,Usak,68,0,89668,38.5491,29.3243
United Arab Emirates,Dubai,64,4,858720,24.9904,55.3711
Turkey,Kirsehir,63,0,68820,39.3091,34.0422
Turkey,Nigde,62,0,16332,37.8547,34.7331
Turkey,Nevsehir,61,0,15503,38.8286,34.6035
Turkey,Kastamonu,58,0,67230,41.4214,33.7891
Turkey,Burdur,58,0,22329,37.326,30.2481
Turkey,Yalova,56,9,146044,40.5992,29.2123
Saudi Arabia,Mecca,55,25,399704,21.0317,41.4478
Turkey,Gumushane,54,11,22604,40.3376,39.4286
Turkey,Karaman,53,0,61242,37.0098,33.1805
Turkey,Kirikkale,51,1,75779,39.8662,33.6922
Jordan,Ajlun,51,1,40639,32.2912,35.7319
