platform_name,country_of_origin,manufacturer,commons_search_url,file,source_url,source_page_url,photographer,license_name,license_url
DJI Dock 3 and Matrice 4D Series,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Dock%203%20and%20Matrice%204D%20Series%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Flip,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Flip%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Lito 1,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Lito%201%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Lito X1,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Lito%20X1%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3 Cine V2.0,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203%20Cine%20V2.0%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3 V2.0,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203%20V2.0%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3E EU,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203E%20EU%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3M EU,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203M%20EU%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI MAVIC 3T EU,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20MAVIC%203T%20EU%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Matrice 4D,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%204D%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Matrice 4TD,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Matrice%204TD%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Mini 4 Pro Fly More Combo,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Mini%204%20Pro%20Fly%20More%20Combo%20UAV&title=Special:MediaSearch&type=image,,,,,,
DJI Neo 2,China,DJI GmbH,https://commons.wikimedia.org/w/index.php?search=DJI%20Neo%202%20UAV&title=Special:MediaSearch&type=image,,,,,,
Inspire 3 C5,China,DRONAVIA,https://commons.wikimedia.org/w/index.php?search=Inspire%203%20C5%20UAV&title=Special:MediaSearch&type=image,,,,,,
