admin_id,country,admin1,lat,lon,events,fatalities,weeks_active,is_maritime
3352,Turkey,Amasya,40.6554,35.8544,105,0,86,False
3353,Turkey,Ankara,39.7073,32.5011,4520,255,519,False
3354,Turkey,Antalya,36.7628,31.9301,724,7,327,False
3355,Turkey,Ardahan,41.1153,42.9326,37,15,33,False
3356,Turkey,Artvin,41.0385,41.8484,193,2,133,False
3357,Turkey,Aydin,37.7322,28.0578,559,1,283,False
3358,Turkey,Balikesir,39.8038,27.9824,541,3,274,False
3359,Turkey,Bartin,41.571,32.4886,47,0,36,False
3360,Turkey,Batman,38.0226,41.3125,936,65,406,False
3361,Turkey,Bayburt,40.2477,40.2223,41,0,27,False
3362,Turkey,Bilecik,40.1112,30.1285,93,0,65,False
3363,Turkey,Bingol,39.0247,40.718,325,206,214,False
3364,Turkey,Bitlis,38.4969,42.2274,565,274,272,False
3365,Turkey,Bolu,40.5731,31.59,130,2,104,False
3366,Turkey,Burdur,37.326,30.2481,58,0,45,False
3367,Turkey,Bursa,40.1017,28.9389,851,4,323,False
3368,Turkey,Canakkale,39.9635,26.8428,502,0,240,False
3369,Turkey,Cankiri,40.6726,33.4398,38,0,27,False
3370,Turkey,Corum,40.646,34.7294,125,0,87,False
3371,Turkey,Denizli,37.6788,29.2458,360,1,218,False
3372,Turkey,Diyarbakir,38.1105,40.2245,3849,1072,538,False
3373,Turkey,Duzce,40.8687,31.2116,96,0,70,False
3374,Turkey,Edirne,41.2961,26.6957,289,20,194,False
3375,Turkey,Elazig,38.7101,39.3439,225,58,157,False
3376,Turkey,Erzincan,39.5452,39.043,110,46,89,False
3377,Turkey,Erzurum,40.0725,41.4751,267,56,179,False
3378,Turkey,Eskisehir,39.6143,31.0627,542,3,264,False
3379,Turkey,Gaziantep,37.1146,37.2439,507,100,283,False
3380,Turkey,Giresun,40.5664,38.4409,114,7,94,False
3381,Turkey,Gumushane,40.3376,39.4286,54,11,39,False
3382,Turkey,Hakkari,37.3909,43.9965,2103,1930,509,False
3383,Turkey,Hatay,36.4111,36.2273,762,103,350,False
3384,Turkey,Igdir,39.8813,43.9762,151,16,124,False
3385,Turkey,Isparta,37.9293,30.8094,37,0,33,False
3386,Turkey,Istanbul,41.2707,28.4707,8487,331,541,False
3387,Turkey,Izmir,38.5994,27.042,4436,17,509,False
3388,Turkey,Kahramanmaras,37.8852,36.8854,135,5,109,False
3389,Turkey,Karabuk,41.2036,32.5224,69,1,51,False
3390,Turkey,Karaman,37.0098,33.1805,53,0,38,False
3391,Turkey,Kars,40.5157,43.0403,170,76,115,False
3392,Turkey,Kastamonu,41.4214,33.7891,58,0,47,False
3393,Turkey,Kayseri,38.5057,35.9186,301,16,148,False
3394,Turkey,Kilis,36.8316,37.0107,97,14,65,False
3395,Turkey,Kirikkale,39.8662,33.6922,51,1,43,False
