admin_id,chokepoint_id,chokepoint,country,admin1,distance_km,decay_weight
1515,suez_canal,Suez Canal & Gulf of Suez,Jordan,Jerash,142.0503125566668,0.3879021803241853
1516,suez_canal,Suez Canal & Gulf of Suez,Jordan,Maan,182.60984288992753,0.29599907413078175
1517,suez_canal,Suez Canal & Gulf of Suez,Jordan,Madaba,101.042340085591,0.5098617846058124
1736,suez_canal,Suez Canal & Gulf of Suez,Lebanon,Akkar,359.90758421653356,0.09077386231541686
1737,suez_canal,Suez Canal & Gulf of Suez,Lebanon,Baalbek-Hermel,326.59246413878174,0.11334907141453922
1738,suez_canal,Suez Canal & Gulf of Suez,Lebanon,Beirut,268.08343961790433,0.16742447401844526
1739,suez_canal,Suez Canal & Gulf of Suez,Lebanon,Bekaa,253.62043797596132,0.18437142906848822
1740,suez_canal,Suez Canal & Gulf of Suez,Lebanon,Mount Lebanon,268.8330767577859,0.1665898439622067
1741,suez_canal,Suez Canal & Gulf of Suez,Lebanon,Al Nabatieh,205.22238558423115,0.2545776867213876
1742,suez_canal,Suez Canal & Gulf of Suez,Lebanon,North,327.0989426888464,0.11296699100703914
1743,suez_canal,Suez Canal & Gulf of Suez,Lebanon,South,204.5920990394861,0.25564964989426825
2289,suez_canal,Suez Canal & Gulf of Suez,Palestine,Gaza Strip,0.0,1.0
2290,suez_canal,Suez Canal & Gulf of Suez,Palestine,West Bank,73.9498950283893,0.6107916965043225
2716,suez_canal,Suez Canal & Gulf of Suez,Saudi Arabia,Al Jawf,494.3944103161589,0.03703237549942575
2717,suez_canal,Suez Canal & Gulf of Suez,Saudi Arabia,Al Madinah,588.7504206012015,0.019742081514460465
2727,suez_canal,Suez Canal & Gulf of Suez,Saudi Arabia,Tabuk,429.9402507291528,0.056910903064876325
3181,suez_canal,Suez Canal & Gulf of Suez,Syria,Aleppo,567.4398641184657,0.02275586356993533
3183,suez_canal,Suez Canal & Gulf of Suez,Syria,As Sweida,251.44689748936867,0.18706247071351503
3184,suez_canal,Suez Canal & Gulf of Suez,Syria,Damascus,264.4987933238408,0.1714737151033964
3185,suez_canal,Suez Canal & Gulf of Suez,Syria,Dara,197.34806786341906,0.2682988559160853
3187,suez_canal,Suez Canal & Gulf of Suez,Syria,Hama,485.1673280867715,0.039381904142255154
3188,suez_canal,Suez Canal & Gulf of Suez,Syria,Homs,463.51813177478834,0.04549645452910533
3189,suez_canal,Suez Canal & Gulf of Suez,Syria,Idleb,506.75948520676,0.034102091302808765
3190,suez_canal,Suez Canal & Gulf of Suez,Syria,Lattakia,461.5045708242274,0.0461113046518153
3191,suez_canal,Suez Canal & Gulf of Suez,Syria,Quneitra,193.1872589791319,0.275845304908224
3192,suez_canal,Suez Canal & Gulf of Suez,Syria,Rural Damascus,335.9958290995385,0.10646146460590894
3193,suez_canal,Suez Canal & Gulf of Suez,Syria,Tartous,397.2988804776762,0.07074600551642223
3354,suez_canal,Suez Canal & Gulf of Suez,Turkey,Antalya,574.113910064412,0.021765566700109807
3383,suez_canal,Suez Canal & Gulf of Suez,Turkey,Hatay,555.5741564792295,0.024629072870068484
3404,suez_canal,Suez Canal & Gulf of Suez,Turkey,Mersin,570.7754663467475,0.022255418417280362
4203,suez_canal,Suez Canal & Gulf of Suez,Mediterranean Sea,Eastern Mediterranean Sea,478.9735453830908,0.04104209756281728
286,gulf_of_oman,Gulf of Oman,Bahrain,Muharraq,594.0222250430841,0.019060289977275515
1331,gulf_of_oman,Gulf of Oman,Iran,Bushehr,562.5254371748539,0.023513758027392254
