cell_id,cell_lat,cell_lon,corridor,detections,dark,expected,sdr,dark_rate,solas_dark_rate,q_value,is_dark_spot,area_type,persistence,days_observed
55.5_6.5,55.5,6.5,Open ocean / other,32,3,10.927848518270606,0.2745279635771129,0.09375,0.06666666666666667,1.0,False,Normal,0.0,5
50.0_0.0,50.0,0.0,Dover Strait / English Channel,69,6,21.859810899247144,0.27447629934468654,0.08695652173913043,0.03333333333333333,1.0,False,Normal,0.0,5
54.5_11.0,54.5,11.0,Open ocean / other,58,5,18.303334113241537,0.27317427355395063,0.08620689655172414,0.04,1.0,False,Normal,0.0,4
34.0_134.0,34.0,134.0,Open ocean / other,35,3,10.991658615987237,0.2729342408466485,0.08571428571428572,0.0,1.0,False,Normal,0.0,3
36.0_-5.5,36.0,-5.5,Strait of Gibraltar,136,8,29.534775826986255,0.2708671312375532,0.058823529411764705,0.03,1.0,False,Normal,0.25,4
50.0_-3.0,50.0,-3.0,Open ocean / other,42,3,11.158719616025717,0.2688480491696841,0.07142857142857142,0.038461538461538464,1.0,False,Normal,0.0,5
57.5_8.0,57.5,8.0,Open ocean / other,31,3,11.221929242084084,0.2673337119921863,0.0967741935483871,0.09090909090909091,1.0,False,Normal,0.0,4
60.0_5.0,60.0,5.0,Open ocean / other,37,3,11.227306187889392,0.26720568138027834,0.08108108108108109,0.0,1.0,False,Normal,0.0,4
40.0_26.5,40.0,26.5,Turkish Straits (Bosphorus-Dardanelles),73,4,15.115064150827175,0.2646366538762655,0.0547945205479452,0.03636363636363636,1.0,False,Normal,0.0,5
24.0_118.0,24.0,118.0,Taiwan Strait,82,5,18.923156229391846,0.2642265349072104,0.06097560975609756,0.021739130434782608,1.0,False,Normal,0.0,2
38.0_121.0,38.0,121.0,Open ocean / other,47,6,22.73187757555063,0.2639465209179785,0.1276595744680851,0.0,1.0,False,Normal,0.0,1
30.0_122.5,30.0,122.5,Open ocean / other,61,5,19.05204562211406,0.2624390104439183,0.08196721311475409,0.03225806451612903,1.0,False,Normal,0.0,1
